比赛序号(*),比赛时间,场地,分组(*),轮次(*),淘汰赛分区(*),淘汰赛轮次(*),球队1(*),球队2(*),球队1进球,球队2进球,球队1点球,球队2点球,球队1进球队员,球队2进球队员,球队1助攻队员,球队2助攻队员,球队1黄牌队员,球队2黄牌队员,球队1红牌队员,球队2红牌队员
M17,5月27日 14:40,①号场,A,#3,,,慕华联,杜伊斯堡,1,1,,,A,C,A,C,A,C,A,C
M18,5月27日 14:40,①号场,A,#3,,,杜塞,不伦瑞克,2,0,,,"D,D",,"D,D",,"D,D",,"D,D",
M19,5月27日 14:40,③号场,B,#3,,,巴黎,波鸿,2,1,,,"E,E",G,"E,E",G,"E,E",G,"E,E",G
M20,5月27日 14:40,④号场,B,#3,,,卡鲁,乌尔姆,4,0,,,"H,H,H,H",,"H,H,H,H",,"H,H,H,H",,"H,H,H,H",
M21,5月27日 15:35,①号场,C,#3,,,柏林,斯图加特,1,2,,,I,"K,K",I,"K,K",I,"K,K",I,"K,K"
M22,5月27日 15:35,②号场,C,#3,,,帕德博恩,慕尼黑中企,1,5,,,L,"J,J,J,J,J",L,"J,J,J,J,J",L,"J,J,J,J,J",L,"J,J,J,J,J"
M23,5月27日 15:35,③号场,D,#3,,,多特蒙德,弗兰肯,0,0,,,,,,,,,,
M24,5月27日 15:35,④号场,D,#3,,,开姆尼茨,学生联,2,0,,,"P,P",,"P,P",,"P,P",,"P,P",
M25,5月28日 10:00,①号场,,,优胜者杯,1/4决赛,杜伊斯堡,学生联,3,1,,,"C,C,C",N,"C,C,C",N,"C,C,C",N,"C,C,C",N
M26,5月28日 10:00,②号场,,,优胜者杯,1/4决赛,波鸿,帕德博恩,1,2,,,G,"L,L",G,"L,L",G,"L,L",G,"L,L"
M27,5月28日 10:00,③号场,,,优胜者杯,1/4决赛,慕尼黑中企,乌尔姆,0,1,,,,F,,F,,F,,F
M28,5月28日 10:00,④号场,,,优胜者杯,1/4决赛,弗兰肯,不伦瑞克,4,3,,,"O,O,O,O","B,B,B","O,O,O,O","B,B,B","O,O,O,O","B,B,B","O,O,O,O","B,B,B"
M29,5月28日 11:00,①号场,,,冠军杯,1/4决赛,杜塞,开姆尼茨,0,0,2,3,,,,,,,,
M30,5月28日 11:00,②号场,,,冠军杯,1/4决赛,巴黎,柏林,2,0,,,"E,E",,"E,E",,"E,E",,"E,E",
M31,5月28日 11:00,③号场,,,冠军杯,1/4决赛,斯图加特,卡鲁,0,0,2,1,,,,,,,,
M32,5月28日 11:00,②号场,,,冠军杯,1/4决赛,多特蒙德,慕华联,0,1,,,,A,,A,,A,,A
M33,5月28日 12:10,①号场,,,优胜者杯,5-8名排位赛,学生联,波鸿,0,0,3,2,,,,,,,,
M34,5月28日 12:10,②号场,,,优胜者杯,5-8名排位赛,慕尼黑中企,不伦瑞克,4,1,,,"J,J,J,J",B,"J,J,J,J",B,"J,J,J,J",B,"J,J,J,J",B
M35,5月28日 12:10,③号场,,,冠军杯,5-8名排位赛,杜塞,柏林,0,1,,,,I,,I,,I,,I
M36,5月28日 12:10,④号场,,,冠军杯,5-8名排位赛,卡鲁,多特蒙德,0,7,,,,"M,M,M,M,M,M,M",,"M,M,M,M,M,M,M",,"M,M,M,M,M,M,M",,"M,M,M,M,M,M,M"
M37,5月28日 13:10,①号场,,,优胜者杯,半决赛,杜伊斯堡,帕德博恩,2,1,,,"C,C",L,"C,C",L,"C,C",L,"C,C",L
M38,5月28日 13:10,②号场,,,优胜者杯,半决赛,乌尔姆,弗兰肯,0,4,,,,"O,O,O,O",,"O,O,O,O",,"O,O,O,O",,"O,O,O,O"
M39,5月28日 13:10,③号场,,,冠军杯,半决赛,开姆尼茨,巴黎,1,1,1,3,P,E,P,E,P,E,P,E
M40,5月28日 13:10,④号场,,,冠军杯,半决赛,斯图加特,慕华联,0,3,,,,"A,A,A",,"A,A,A",,"A,A,A",,"A,A,A"
M41,5月28日 14:05,①号场,,,优胜者杯,7/8名排位赛,波鸿,不伦瑞克,1,2,,,G,"B,B",G,"B,B",G,"B,B",G,"B,B"
M42,5月28日 14:05,②号场,,,优胜者杯,5/6名排位赛,慕尼黑中企,学生联,2,2,11,10,"J,J","N,N","J,J","N,N","J,J","N,N","J,J","N,N"
M43,5月28日 14:05,③号场,,,冠军杯,7/8名排位赛,杜塞,卡鲁,3,1,,,"D,D,D",H,"D,D,D",H,"D,D,D",H,"D,D,D",H
M44,5月28日 14:05,④号场,,,冠军杯,5/6名排位赛,柏林,多特蒙德,1,1,2,4,I,M,I,M,I,M,I,M
M45,5月28日 15:00,①号场,,,优胜者杯,3/4名排位赛,帕德博恩,乌尔姆,1,3,,,L,"F,F,F",L,"F,F,F",L,"F,F,F",L,"F,F,F"
M46,5月28日 15:00,②号场,,,冠军杯杯,3/4名排位赛,开姆尼茨,斯图加特,1,3,,,P,"K,K,K",P,"K,K,K",P,"K,K,K",P,"K,K,K"
M47,5月28日 15:00,③号场,,,优胜者杯,决赛,杜伊斯堡,弗兰肯,1,2,,,C,"O,O",C,"O,O",C,"O,O",C,"O,O"
M48,5月28日 16:00,①号场,,,冠军杯,决赛,巴黎,慕华联,4,2,,,"E,E,E,E","A,A","E,E,E,E","A,A","E,E,E,E","A,A","E,E,E,E","A,A"
